Symbol

NIFTY 50
ADANIPORTS
BPCL
COALINDIA
IOC
TATASTEEL
NESTLEIND
SUNPHARMA
GAIL
HINDALCO
JSWSTEEL
TECHM
WIPRO
DIVISLAB
SBILIFE
GRASIM
TCS
ITC
NTPC
RELIANCE
HDFCLIFE
INDUSINDBK
HCLTECH
SBIN
ONGC
UPL
TATAMOTORS
ULTRACEMCO
M&M
SHREECEM
HDFCBANK
LT
AXISBANK
DRREDDY
HDFC
TITAN
POWERGRID
ASIANPAINT
BAJAJ-AUTO
BAJAJFINSV
CIPLA
INFY
BRITANNIA
ICICIBANK
MARUTI
KOTAKBANK
HINDUNILVR
BAJFINANCE
EICHERMOT
BHARTIARTL
HEROMOTOCO
